OBS_YEAR,DEPTH_BIN,TAXA,Percent,se
1/1/2010,Deep,CCA,16.66666667,0
1/1/2010,Deep,EMA,6.818181818,0
1/1/2010,Deep,Total Coral,34.09090909,0
1/1/2010,Deep,TURF,22.34848485,0
1/1/2010,Deep,UPMA,19.31818182,0
1/1/2010,Mid,CCA,16.7937467,1.54903741
1/1/2010,Mid,EMA,12.10096667,1.195842855
1/1/2010,Mid,Total Coral,40.97309846,4.504885946
1/1/2010,Mid,TURF,17.86572705,4.763211145
1/1/2010,Mid,UPMA,11.24167932,3.159857477
1/1/2010,Shallow,CCA,27.64454571,4.644676446
1/1/2010,Shallow,EMA,10.19971674,1.648436111
1/1/2010,Shallow,Total Coral,32.74417974,4.994411256
1/1/2010,Shallow,TURF,25.32637864,4.189161036
1/1/2010,Shallow,UPMA,3.10570575,1.818743076
1/1/2012,Deep,CCA,10.71534588,1.155820293
1/1/2012,Deep,EMA,16.16608649,2.342997424
1/1/2012,Deep,Total Coral,25.44814544,3.569812106
1/1/2012,Deep,TURF,14.90618932,2.146707843
1/1/2012,Deep,UPMA,31.58496143,3.24202502
1/1/2012,Mid,CCA,15.34721565,1.211181838
1/1/2012,Mid,EMA,17.87260465,1.995742177
1/1/2012,Mid,Total Coral,35.87654968,3.0881279
1/1/2012,Mid,TURF,10.72103069,1.657547101
1/1/2012,Mid,UPMA,19.61229547,2.677121615
1/1/2012,Shallow,CCA,25.80038921,3.351625275
1/1/2012,Shallow,EMA,10.72052853,1.764194891
1/1/2012,Shallow,Total Coral,40.96645441,6.029065897
1/1/2012,Shallow,TURF,10.65605122,1.561608598
1/1/2012,Shallow,UPMA,10.91159041,2.186893538
1/1/2015,Deep,CCA,13.42563691,2.087032876
1/1/2015,Deep,EMA,10.374502,1.866045154
1/1/2015,Deep,Total Coral,25.56747654,4.214636288
1/1/2015,Deep,TURF,27.87190118,3.003077852
1/1/2015,Deep,UPMA,21.24937855,3.077557619
1/1/2015,Mid,CCA,11.22251348,1.575939951
1/1/2015,Mid,EMA,10.06685013,1.347658323
1/1/2015,Mid,Total Coral,44.43990889,5.069447621
1/1/2015,Mid,TURF,17.80178134,1.771664176
1/1/2015,Mid,UPMA,15.64547298,1.680371589
1/1/2015,Shallow,CCA,22.3829486,2.678238961
1/1/2015,Shallow,EMA,8.12789335,1.132104404
1/1/2015,Shallow,Total Coral,39.35175105,5.112352166
1/1/2015,Shallow,TURF,23.37956185,2.850290113
1/1/2015,Shallow,UPMA,6.047812385,2.215487142
1/1/2018,Deep,CCA,14.24475967,3.365014678
1/1/2018,Deep,EMA,15.98250667,4.109666589
1/1/2018,Deep,Total Coral,34.5499672,10.44187739
1/1/2018,Deep,TURF,12.17226275,2.263148815
1/1/2018,Deep,UPMA,22.32407568,5.100223774
1/1/2018,Mid,CCA,16.2408985,5.664440295
1/1/2018,Mid,EMA,18.18406467,5.243675631
1/1/2018,Mid,Total Coral,34.2651948,8.936418353
1/1/2018,Mid,TURF,15.01202738,2.259087295
1/1/2018,Mid,UPMA,12.79311928,4.225964558
1/1/2018,Shallow,CCA,49.39794111,6.631535929
1/1/2018,Shallow,EMA,12.37990233,1.533444993
1/1/2018,Shallow,Total Coral,16.7489301,3.54638027
1/1/2018,Shallow,TURF,16.73301047,3.002848266
1/1/2018,Shallow,UPMA,2.851752189,1.100556306
1/1/2023,Deep,CCA,8.831308667,1.834888665
1/1/2023,Deep,EMA,8.542691333,1.554853477
1/1/2023,Deep,Total Coral,35.93607047,12.23105168
1/1/2023,Deep,TURF,16.23029367,1.916279025
1/1/2023,Deep,UPMA,30.11717193,9.029326716
1/1/2023,Mid,CCA,12.4948931,1.760123241
1/1/2023,Mid,EMA,14.246212,1.519852758
1/1/2023,Mid,Total Coral,26.62533236,3.500896384
1/1/2023,Mid,TURF,12.05194709,1.294454772
1/1/2023,Mid,UPMA,33.5498301,3.891100602
1/1/2023,Shallow,CCA,27.88843755,3.409811209
1/1/2023,Shallow,EMA,6.395751636,1.200338802
1/1/2023,Shallow,Total Coral,26.64538462,2.799257227
1/1/2023,Shallow,TURF,23.30915324,4.901349828
1/1/2023,Shallow,UPMA,15.44487287,4.553815965
