TAXA,New
ENC,Hard Coral
UPMA,UPMA
FREE,Hard Coral
FOL,Hard Coral
EMA,EMA
OCTO,Other_Invert
SAND,Non-Biological
BR,Other_Invert
SP,Other_Invert
BGMA,TURF
MASS,Hard Coral
HARD,Non-Biological
TUN,TUN
ZO,Other_Invert
COL,Hard Coral
RUB,Non-Biological
TURF,TURF
POSP,POSP
HALI,UPMA
CCA,CCA
ASSP,Hard Coral
BRMA,UPMA
ACSP,Hard Coral
POCS,POCS
FASP,Hard Coral
GONS,Hard Coral
HYSP,Hard Coral
HCOE,Hard Coral
LEPT,Hard Coral
MISP,Hard Coral
CYPS,Hard Coral
MOSP,MOSP
PAVS,Hard Coral
GRMA,UPMA
STYS,Hard Coral
RDMA,UPMA
MICR,UPMA
COSP,Hard Coral
FAVS,Hard Coral
DICT,UPMA
FUSP,Hard Coral
LOBS,Hard Coral
PSSP,Hard Coral
TURS,Hard Coral
DISP,Hard Coral
LESP,Hard Coral
